date,usage(hours.minutes),total_phone_usage(hours.minutes)
31-03-2025,0.43,3.02
01-04-2025,1.35,3.18
02-04-2025,1.26,5.09
03-04-2025,1.17,3.16
04-04-2025,1.52,3.46
05-04-2025,1.41,3.48
06-04-2025,1.34,3.53
07-04-2025,1.02,3.51
08-04-2025,1.10,3.25
09-04-2025,1.57,6.07
10-05-2025,1.24,5.43
11-04-2025,1.10,5.19
12-04-2025,1.17,5.11
13-04-2025,1.29,3.42
14-04-2025,1.08,4.04
15-04-2025,0.37,3.10
16-04-2025,1.32,2.59
17-04-2025,0.56,5.19
18-04-2025,1.02,4.34
19-04-2025,1.22,3.42
20-04-2025,0.29,2.15
